,stance twd. cult persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
36,,,,Profile Analyses of Non-Exporters versus Exporters Grouped by Export Involvement,"Since the early 1960s a new body of behavioural literature has contributed to a greater insight into the export activities of the firm. However, studies to date have failed to explore differences between firms with varying degrees of export involvement except, in some contributions, by reference to a single, arbitrary cut-off export sales ratio. This paper attempts to compensate for this deficiency.",https://www.jstor.org/stable/40227827,Management International Review,10.2307_40227827,Management & Organizational Behavior,1987.0,0,1.2640618479053956e-05,0,0.00030314040486700833,0,0.010772350244224072
37,,,,The Marketing Telos: On National Sales Meetings,None,https://www.jstor.org/stable/40226423,Management International Review,10.2307_40226423,Management & Organizational Behavior,1972.0,0,0.0003308272862341255,0,0.0005832273745909333,0,0.001749461400322616
38,,,,"Globalisation, Markets, Transnational Corporations and Environmental Management: A Case of Small Island Nations in the South Pacific","The process of globalisation has many implications for developing countries in terms of trade and the performance of their economies. The structural adjustment, global trade and the new political economy of development gave rise to many questions regarding the role of transnational corporations and the performance of the markets. In the case of the South Pacific Island Nations (SPINs), the performance of the markets and the role of transnational firms have been a matter of concern. Dependency theorists have attributed this to the process of colonialism and the exploitation of resources by the transnational firms in the post-independence era. However, in the present circumstances and in view of global trade regimes, developing countries in general have to accept that they are part of the global economy. Therefore, strategies to achieve sustainable levels of economic growth must combine policies that support the operation of the market as well as allow governments to intervene in strategic areas such as the environment. SPINs have very little option but to attract foreign investment to achieve economic growth and foreign investment which largely has to come through the transnational firms. Over the last decade, governments of the SPINs have pursued economic policies that provide incentives to foreign firms to invest in their economies. These policies have often been dictated to by the international agencies such as the International Monetary Fund and the World Bank. The experiences of these countries with structural adjustment policies have been articulated both in terms of the positive and negative impacts on the poor and the environment. This paper analyses the role of transnational firms in economic growth and the conflict it creates in the process of environmental management and governance in the SPINs. It explores the questions of markets versus government intervention in the management of the economy and the environment.",https://www.jstor.org/stable/jcorpciti.2.75,Journal of Corporate Citizenship,10.2307_jcorpciti.2.75,Management & Organizational Behavior,2001.0,0,0.00012860020797234029,0,0.00021160895994398743,0,0.00019386070198379457
39,,,,Cognitive Biases and Organizational Correctives: Do Both Disease and Cure Depend on the Politics of the Beholder?,"The study reported here assessed the impact of managers' philosophies of human nature on their reactions to influential academic claims and counter-claims of when human judgment is likely to stray from rational-actor standards and of how organizations can correct these biases. Managers evaluated scenarios that depicted decision-making processes at micro, meso, and macro levels of analysis: alleged cognitive biases of individuals, strategies of structuring and coping with accountability relationships between supervisors and employees, and strategies that corporate entities use to cope with accountability demands from the broader society. Political ideology and cognitive style emerged as consistent predictors of the value spins that managers placed on decisions at all three levels of analysis. Specifically, conservative managers with strong preferences for cognitive closure were most likely (a) to defend simple heuristic-driven errors such as overattribution and overconfidence and to warn of the mirror-image mistakes of failing to hold people accountable and of diluting sound policies with irrelevant side-objectives; (b) to be skeptical of complex strategies of structuring or coping with accountability and to praise those who lay down clear rules and take decisive stands; (c) to prefer simple philosophies of corporate governance (the shareholder over stakeholder model) and to endorse organizational norms such as hierarchical filtering that reduce cognitive overload on top management by short-circuiting unnecessary argumentation. Intuitive theories of good judgment apparently cut across levels of analysis and are deeply grounded in personal epistemologies and political ideologies.",https://www.jstor.org/stable/2667073,Administrative Science Quarterly,10.2307_2667073,Management & Organizational Behavior,2000.0,0,0.003167246701195836,0,0.00024765351554378867,0,0.0022340097930282354
40,,,,Planning the Balance of Health and Social Services in the United Kingdom,"Within the context of the U.K. background (public expenditure is being severely curtailed, at a local level health services and social services are controlled by separate organizations and there are many groups of the population for whom a number of acceptable treatments, or methods of caring, exist), the paper describes the development of a resource allocation model and its use in a local planning situation. Although based on the techniques of mathematical programming, the model does not purport to indicate a single optimum allocation of health and social services resources, but rather to calculate the resource consequences of possible alternative courses of action. As such, its use is seen as iterative, in that health and social services decision makers can review and update their assumptions in the light of the results from successive runs of model.",https://www.jstor.org/stable/2631189,Management Science,10.2307_2631189,Management & Organizational Behavior,1982.0,0,1.2231748769409023e-05,1,0.9999090433120728,0,7.038831245154142e-05
41,,,,MANAGERIAL BEHAVIOR IN THE FURNITURE AND TIMBER INDUSTRIES,None,https://www.jstor.org/stable/41103785,International Studies of Management & Organization,10.2307_41103785,Management & Organizational Behavior,1972.0,0,1.3856968507752754e-05,1,0.5768037438392639,0,0.03230120614171028
42,,,,An environmental assessment of how technology is reshaping the hospitality industry,"Leading strategists suggest that the key to winning the future is to develop industry foresight and to stake one's territorial claim before anyone else. Following this advice, however, is not as easy as it may sound, especially when one takes into account how quickly things change in the era of high-tech. Each day, the seeds of change are sown. By using disciplined approaches, these seeds can be spotted early on as they germinate, sprout and grow into something big. To help the hospitality industry develop foresight in a disciplined manner, identify the antecedents of change and prepare for the future, the International Hotel and Restaurant Association (IH&RA) called together over 160 people worldwide from various organisations, industries and geographic regions to participate in a series of Visioning Workshops and Technology Think-Tank sessions. Collectively, these sessions define the forces shaping change and identify what is in store for the industry as the future draws near. The findings to date suggest that information technology is the single greatest force affecting change in the hospitality industry. Everywhere one looks, one can find evidence of how technology is reshaping the industry and changing the very dynamics of competition and customer/employee interaction. Going forward, technology will be the most important competitive weapon for any hospitality company. If hospitality organisations want to compete successfully, they must do so by using technology to drive value to both the customer and the firm. What follows is a detailed summary of the proceedings from three Technology Think-Tank workshops held in Singapore; Nice, France; and Vienna, Austria from 1997 to 1999.",https://www.jstor.org/stable/23743852,Tourism and Hospitality Research,10.2307_23743852,Management & Organizational Behavior,2001.0,0,6.988963286858052e-05,0,0.0010300993453711271,0,0.0006203498924151063
43,,,,"Recipes, Crises, and Adaptation in Mature Businesses",None,https://www.jstor.org/stable/40396840,International Studies of Management & Organization,10.2307_40396840,Management & Organizational Behavior,1979.0,0,2.9489157896023244e-05,0,0.0044848304241895676,0,2.676660005818121e-05
44,,,,Exploring structural embeddedness of product market activities and resources within business units,"This article explores the concept of structural embeddedness and proposes a construct, contextual links, which represent coordination mechanisms applied to activities that may embed activities and their underlying resources within their business units. The main argument is that if activities and resources are highly embedded in unit structures, then unit reconfiguration should have an impact on activity reconfiguration, where reconfiguration refers to movement within the firm and retention or deletion from the firm. Specifically, the article argues that if there is a significant structural embeddedness, then removal from the contextual environment within which activities reside will result in their creating less value. Theoretical support is drawn from the dynamic capabilities and organization design literatures. Activity movements are specified as default, linked, or unlinked changes. The article examines, empirically, the simultaneous effects of activity and unit reconfiguration on activity retention to gain insight on structural embeddedness. It contrasts activity-level and unit-level contextual links; whereas the former refers to activities embedded in units, the latter refers to units embedded in the firm. Findings reveal that preserving activity-level contextual links is more influential than preserving unit-level contextual links in determining value creation from activities and their resources.",https://www.jstor.org/stable/43581880,Strategic Organization,10.2307_43581880,Management & Organizational Behavior,2012.0,0,0.0006760103278793395,0,0.0004503898089751601,0,0.002348373644053936
45,,,,Performance Measurement for Criminal Justice: The Federal Bureau of Investigation (FBI) Experience,"Why should performance measurement be of interest to the executive leadership of the FBI? The authors answer the question, analyze the problems of performance measurement, and delineate current performance measures in operation. The FBI's traditional reliance on quantitative performance criteria is evaluated as are the factors that diminish the validity of quantitative measures for a national agency such as the FBI. Performance measurement in the public sector is essentially a qualitative process. The adoption of a qualitative approach to the different components that comprise the current FBI performance measurement is described in detail.",https://www.jstor.org/stable/3380463,Public Productivity Review,10.2307_3380463,Management & Organizational Behavior,1984.0,0,7.770457887090743e-05,0,0.0004338733560871333,0,0.0004800340684596449
46,,,,The Costs and Benefits of Managerial Incentives and Monitoring in Large U.S. Corporations: When is More Not Better?,"Recent research and public discourse on executive compensation and corporate governance suggests a growing consensus that firms can and should increase their control over top managers by increasing the use of managerial incentives and monitoring by boards of directors. This study departs from this consensus by offering an alternative perspective that considers not only the benefits, but also the costs of both incentives and monitoring in large corporations. The study develops and tests a contingency cost/benefit perspective on governance decisions as resource allocation decisions, proposing how and why the observed levels of managerial incentives and monitoring may vary across organizations and across time. Specifically, the study suggests that: (1) firms that are more risky face greater costs when using incentive compensation contracts for top managers, thus reducing the expected level of incentive compensation use for such firms; (2) firms facing this problem of low incentive compensation use can realize greater benefits from higher levels of board monitoring, and thus are likely to rely more on board monitoring; and (3) firms with more complex corporate strategies face higher costs in using board monitoring, and are thus likely to rely less on board monitoring as a source of controlling top management behavior. The study also proposes that within this contingency perspective there may be diminishing `behavioral returns' to increases in monitoring and incentives. These hypotheses are tested using extensive longitudinal data from over 400 of the largest U.S. corporations. The supportive findings suggest that maximal levels of incentives and monitoring are not necessarily optimal, and that a firm's strategy may not only have significant product/market implications, but also corporate governance implications.",https://www.jstor.org/stable/2486814,Strategic Management Journal,10.2307_2486814,Management & Organizational Behavior,1994.0,0,8.650731615489349e-05,0,0.00010759366705315188,0,9.744917770149186e-05
47,,,,A Multilevel Analysis of Procedural Justice Context,"Using a multilevel framework, we hypothesized that both employee perceptions of procedural justice and a work unit level measure of procedural justice context would be associated with employee reports of job satisfaction and organizational commitment. Three hundred and twenty-three employees from 53 branches of a financial services organization were used to test this hypothesis. Hierarchical linear modeling analyses revealed that procedural justice context explained variance in employee job satisfaction beyond that accounted for by individual perceptions of procedural justice. With regard to organizational commitment, this hypothesis was not supported. The results are discussed in connection with contextual aspects of procedural justice.",https://www.jstor.org/stable/3100190,Journal of Organizational Behavior,10.2307_3100190,Management & Organizational Behavior,1998.0,0,1.735334262775723e-05,1,0.5239060521125793,0,0.0003241618978790939
48,,,,Democracy and Disaster: The Crisis of (Meta) Planning in America,"In this essay we examine the connection between a crisis in the American political economy and the recurrence of industrial crisis which imperil the health, safety and welfare of Americans and others affected by U.S.-based industrial operations. The crisis of the political economy (manifested by uneven growth rates, polarization, voter cynicism and other indicators) arises from the need for increased coordination and planning of economic and industrial activity. This planning threatens elite control and undermines the ideology of laissez faire economics which legitimates the prevailing order. Weak planning and an unstable political consensus are natural results of this contradiction. A system which we call metaplanning (planning without planning) has evolved in response to this impasse. The early sections of the paper deal with the implementation of new industrial policies which are the core of metaplanning, demonstrating how these policies simultaneously enhance systemic capacities for coordination while reassuring the public that the traditional American aversion to strong government is being upheld. The implication of metaplanning for industrial crises are examined in a final section. We argue that metaplanning facilitates private investment in profit rather than safety, early commercialization of new technologies which shifts risks onto the public, and distorts democratic processes and goals in the public management of industrial hazards.",https://www.jstor.org/stable/26162753,Industrial Crisis Quarterly,10.2307_26162753,Management & Organizational Behavior,1988.0,0,0.0034905653446912766,0,0.0012036625994369388,0,5.035240974393673e-05
49,,,,Editorial,None,https://www.jstor.org/stable/jcorpciti.61.3,Journal of Corporate Citizenship,10.2307_jcorpciti.61.3,Management & Organizational Behavior,2016.0,0,0.002183054806664586,1,0.9993372559547424,0,8.314904698636383e-05
