stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,State Level Management and Productivity Improvement: A Public-Private Sector Partnership Approach,"In his capacity as key private-sector coordinator for the Governor's Management Improvement Program (GMIP) in the State of New Jersey, the author offers insights into an innovative public-private partnership to improve the productivity of state government. The goal of the short-term program was to address the most pressing need of a balanced FY '84 budget, to control the growth in direct state expenditures, and to conduct a comprehensive organizational and programmatic review of the executive branch. The goal of the long-term program was to assess key issues that have a major impact on the future direction of New Jersey state government and provide an ongoing strategic planning process for the state.",https://www.jstor.org/stable/3379990,Public Productivity Review,10.2307_3379990,Management & Organizational Behavior,1984.0,0,3.19224527629558e-05,0,0.0012936396524310112,0,6.028541247360408e-05
,,,"Sequential Sampling with Small Samples, a Nonlinear Payoff Function, and Pooling of First and Second Samples",None,https://www.jstor.org/stable/2629403,Management Science,10.2307_2629403,Management & Organizational Behavior,1971.0,0,1.0800045856740326e-05,1,0.9984569549560547,0,0.0001337955764029175
,,,Implementing Computer Systems in the Face of Fiscal Scarcity: A Model for Technologically Frustrated Managers,"For a new system to work under optimal conditions, it must have the backing of organizational leadership, users who are not resistant to the system, and adequate economic resources. The system described in this article benefited from nominal levels of these advantages and, in part for this reason, it is a phenomenal success story. This article will inspire managers who understand the benefits of technology but are frustrated by roadblocks posed by organizational rules, regulations, and budget constraints. This success story begins with the hiring of a dynamic deputy commissioner to the head of the administration of the Division of Human Rights in New York State. The division at that time had two computers and links to an obsolete mainframe system that was updated once a month. It ends 5 years later with a distributed server-based system that is successfully being used by 200 employees.",https://www.jstor.org/stable/3380860,Public Productivity & Management Review,10.2307_3380860,Management & Organizational Behavior,1998.0,0,4.359870217740536e-05,0,0.00013580422091763467,0,0.001159169594757259
,,,"Causal Ambiguity, Complexity, and Capability-Based Advantage","This paper presents the first formal examination of role of causal ambiguity as a barrier to imitation. Here, the aspiring imitator faces a knowledge (i.e., ""capabilities-based"") barrier to imitation that is both causal and ambiguous in a precise sense of both words. Imitation conforms to a well-explicated process of learning by observing. I provide a precise distinction between the intrinsic causal ambiguity associated with a particular strategy and the subjective ambiguity perceived by a challenger. I find that intrinsic ambiguity is a necessary but insufficient condition for a sustained capability-based advantage. I also demonstrate that combinatorial complexity, a phenomenon that has attracted the recent attention of strategy theorists, and causal ambiguity are distinct barriers to imitation. The former acts as a barrier to explorative/active learning and the latter as one to absorptive/passive learning. One implication of this is that learning by doing and learning by observing are complementary strategic activities, not substitutes—in most cases, we should expect firm strategies to seek performance enhancement using efforts of both types.",https://www.jstor.org/stable/40539155,Management Science,10.2307_40539155,Management & Organizational Behavior,2009.0,0,0.001304212142713368,0,0.004860640969127417,0,0.00013004311767872423
,,,The UK National Lottery and the Arts: Reflections on the Lottery's Impact and Development,"The launch of the UK's first national lottery of modern times in 1994 represented the country's most significant change in public funding for the arts since World War II . This paper presents a brief overview of the National Lottery and the distribution system that channels proceeds to its various ""good causes."" It then reviews the Lottery's funding for the arts, distinguishing between capital grants (for construction, investment and film production) and revenue funding programs. It sets these revenue programs within the context of the Arts Council of England's grant-in-aid (publicly funded) revenue spending plans. The final sections of the paper consider the reforms to the National Lottery resulting from the National Lottery Act of 1998, together with the results of the Departmental Spending Review of the Department for Culture, Media and Sport, which set out grant-in-aid plans for the arts for the 3 financial years ending in 2002. Au Royaume-Uni, le lancement de la première loterie nationale des temps modernes, en 1994, constitue le changement le plus significatif apporté au financement public des arts depuis la Seconde Guerre mondiale. L'article donne une vue d'ensemble du contexte et des caractéristiques de la loterie nationale et décrit brièvement le mode de distribution des recettes, qui sont canalisées vers différentes « bonnes causes ». Les auteurs examinent ensuite le financement des arts en particulier, en distinguant entre les subventions pour des projets matériels (construction, équipements et production cinématographique) et les subventions de fonctionnement. Ils situent ces dernières dans le cadre des projets d'aide financière (fonds publics) du Conseil des arts d'Angleterre. Enfin, ils examinent les modifications apportées à la loterie nationale après l'adoption de la National Lottery Act (1998), ainsi que les conclusions de l'étude sur ses dépenses menée par le ministère de la Culture, des Médias et des Sports, où figurent les plans d'aide financière aux arts pour les trois exercices se terminant en 2002. El lanzamiento de la primera lotería naáonal del Reino Unido en 1994 representó el cambio más significativo en los fondos públicos para las artes desde la 2da Guerra Mundial. En este artículo se presenta un breve panorama de la Lotería Nacional y del sistema de distribución que canaliza las ganancias hacia las diferentes ""buenas causas"". En una segunda etapa, se analizan los fondos de la Lotería para las artes, distinguiéndose entre las subvenciones de capital (para construcción, inversión y producción cinematográfica), asi como los programas de fondos destinados a salaríos. Estos programas de salarios se colocan dentro del contexto de las planificaciones de gastos de las rentas públicas para las subvenciones de ayuda del Arts Council of England (Consejo para las Artes de Inglaterra). En la sección final de este artículo se toman en cuenta las reformas a la Lotería Nacional que resultan de la National Lottery Act (Ley sobre la Lotería Nacional) de 1998, junto con los resultados del Departmental Spending Review del Departamento de Cultura, Medios de Comunicación y Deportes, que dispuso la planificación de subvenciones para las artes para los tres años fiscales que se terminan en 2002.",https://www.jstor.org/stable/41064709,International Journal of Arts Management,10.2307_41064709,Management & Organizational Behavior,2000.0,0,0.00014179697609506547,1,0.9999616146087646,0,0.000388531741918996
,,,Avoiding NIMBY Gridlock: Community Stewardship and Social Learning,"This essay examines the NIMBY phenomenon, its social roots, and the resulting gridlock that has imperiled hazardous waste remediation efforts. Through a discussion of current technocratic practices, we present the need for a more comprehensive ""social learning"" strategy that places afflicted host communities at the political nucleus of site remediation efforts. We stress the centrality of meaningful, educational dialogue between communities, public agencies entrusted with overseeing cleanups, and business vendors selected to accomplish site remediations, where technological means are deliberately subordinated to respecting community norms.",https://www.jstor.org/stable/26162267,Industrial & Environmental Crisis Quarterly,10.2307_26162267,Management & Organizational Behavior,1994.0,1,0.5890034437179565,0,0.0003559339966159314,0,0.0008356968173757195
,,,Harnessing the Resources of Community: The Ultimate Performance Agenda,"Local governments that become preoccupied with productivity improvement to the exclusions of a broader performance agenda risk shrouding the primary responsibility of government, improving quality of life and responsiveness to citizens. This research argues that we should more broadly focus our performance improvement agenda by recognizing all dimensions of local government performance and aggressively seek to harness the resources of community. An engaged community offers unrealized opportunity for maximizing return-on-public-dollar investment. Specifically, local governments that are committed to community and improvements to quality of life are more likely to successfully transform citizens into active participants in community development. At the same time, local governments that unselfishly focus on the will of the community will also reap returns in the form of improved citizen-government relations. Caution is advised when employing neighborhood development policy as the only means by which to harness the resources of community. Neighborhood development must be driven by overarching policy linking neighborhoods to the broader community development policy.",https://www.jstor.org/stable/3380562,Public Productivity & Management Review,10.2307_3380562,Management & Organizational Behavior,2000.0,0,3.660821312223561e-05,0,0.00015702922246418893,0,8.821883966447785e-05
,,,An empirical assessment of individual-level determinants of social capital in Central European countries,"This paper carries out an empirical assessment of the influence relationship between personal attitudes and several measures of social capital in some Central European Countries (CEC). Using the World Values Survey dataset, the model measures three main social capital dimensions (institutional trust, social participation and political participation) and four personal attitudes factors (collectiveness, education, gender differences and work). The analysis provides relevant information about personal determinant of social capital, in its political approach and, also, about the key role of institutional trust for civic engagement in social and political participation. Dieser Artikel führt eine empirische Untersuchung über den Einfluss der Beziehung zwischen persönlichen Eigenschaften und verschiedenen Maßzahlen von Sozialkapital in mehreren zentraleuropäischen Ländern durch. Das Modell zieht den Datensatz des World Values Survey heran und misst drei Hauptdimensionen von Sozialkapital (Vertrauen in Institutionen, gesellschaftliche und politische Teilhabe). Außerdem bestimmt es noch vier Faktoren für persönliche Eigenschaften (Kollektivität, Erziehung, Geschlechterunterschiede und Arbeit) durch synthetische Indikatoren. Die Analyse liefert, in ihrer politischen Herangehensweise, relevante Informationen über die Bestimmungsgröße von Sozialkapital und über die Schlüsselrolle von Vertrauen in Institutionen für bürgerliches Engagement bei gesellschaftlicher und politischer Teilhabe.",https://www.jstor.org/stable/23281689,Journal of East European Management Studies,10.2307_23281689,Management & Organizational Behavior,2011.0,0,1.8872126020141877e-05,1,0.8641538023948669,0,0.0007018602918833494
,,,R & D Project Selection and Manpower Allocation with Integer Nonlinear Goal Programming,"A number of recent research efforts in the area of research and development planning have indicated the necessity that the R & D project selection process be viewed as a multi-criteria decision-making problem. As a result, linear 0-1 goal programming, because of its ability to encompass multiple objectives, has been employed on several occasions as a project selection model. However, in these goal programming models the relationships between resource utilization and project outcomes or between various resource utilizations have been expressed linearly when, in reality, they are often non-linear. For example, as the resources allocated to a project are increased the probability of project success will also increase but at a decreasing rate. In this paper, a non-linear integer goal programming model is described via a case example. The case example encompasses a pool of thirty researchers available for allocation to seven possible R & D projects. As such, the model consists of integer decision variables for both the number of researchers allocated, and, project selection. Researcher allocation and project selection are subject to several linear and nonlinear goal constraints. Nonlinear goal constraints are constructed that relate the probability of project success to the number of researchers assigned to a project and to expected monetary return, and, that relate the number of researchers allocated to project completion time. Linear goal constraints are developed for budget limitations, computer capacity utilization and various strict conditions placed on the model. The model selects projects and allocates researchers to projects such that a prioritized goal structure is most satisfactorily achieved. The model solution of the case example indicated the selection of five of the seven projects and the number of researchers assigned to each project. Of the nine prioritized goals, six were achieved while three were only partially achieved.",https://www.jstor.org/stable/2630943,Management Science,10.2307_2630943,Management & Organizational Behavior,1982.0,0,1.3055770068604033e-05,1,0.9995957016944885,0,0.0023091675247997046
,,,Changes in workplace situation and work values. Relations and dynamics within different employment regimes,"Workplace situation as well as work values have apparently changed in the last decades. However, up to now we do not know how these changes are related. This article considers both, workplace situation and work values, together and analyses theoretically and empirically how different developments can either lead to match or mismatch between workplace situation and work values. It refers to the employment regime approach to analyse the potential influence of different institutional frameworks. Findings have revealed various change patterns where developments regarding different dimensions of work life follow different logics: If employment becomes less secure, job security becomes more important. With respect to other dimensions (income, career opportunities, interesting job, and independence at work), an adaptation can be observed. The existing employment regime theory helps little in explaining the dynamics between workplace situation and work values.",https://www.jstor.org/stable/24331300,Management Revue,10.2307_24331300,Management & Organizational Behavior,2014.0,0,0.00278319395147264,1,0.9997432827949524,0,0.0006713677430525422
,,,Hostile-vs.-White-Knight Bidders,"We examine the hypothesis that white knights enter control contests to spend free cash flow instead of paying it out to shareholders. Tobin's q is used to measure management's inclination to invest in negative NPV investments. We find that historically, white knights have over-invested and their acquisition of the target is one more negative NPV investment. Alternatively, hostile bidders' past investment decisions have increased shareholder wealth. Furthermore, white knights' returns upon the announcement of their bid have a significant negative relationship with free cash flow, implying that their bid reveals information about white knights management's investment decisions.",https://www.jstor.org/stable/3108146,Managerial and Decision Economics,10.2307_3108146,Management & Organizational Behavior,1999.0,0,1.0244279110338539e-05,1,0.999789297580719,0,0.0001290882210014388
,,,Online Auction and List Price Revenue Management,"We analyze a revenue management problem in which a seller facing a Poisson arrival stream of consumers operates an online multiunit auction. Consumers can get the product from an alternative list price channel. We consider two variants of this problem: In the first variant, the list price is an external channel run by another firm. In the second one, the seller manages both the auction and the list price channels. Each consumer, trying to maximize his own surplus, must decide either to buy at the posted price and get the item at no risk, or to join the auction and wait until its end, when the winners are revealed and the auction price is disclosed. Our approach consists of two parts. First, we study structural properties of the problem, and show that the equilibrium strategy for both versions of this game is of the threshold type, meaning that a consumer will join the auction only if his arrival time is above a function of his own valuation. This consumer's strategy can be computed using an iterative algorithm in a function space, provably convergent under some conditions. Unfortunately, this procedure is computationally intensive. Second, and to overcome this limitation, we formulate an asymptotic version of the problem, in which the demand rate and the initial number of units grow proportionally large. We obtain a simple closed-form expression for the equilibrium strategy in this regime, which is then used as an approximate solution to the original problem. Numerical computations show that this heuristic is very accurate. The asymptotic solution culminates in simple and precise recipes of how bidders should behave, as well as how the seller should structure the auction, and price the product in the dual-channel case.",https://www.jstor.org/stable/20110741,Management Science,10.2307_20110741,Management & Organizational Behavior,2007.0,0,1.1692300176946446e-05,1,0.9908084273338318,0,6.276098429225385e-05
,,,A General Index of Absolute Risk Attitude,"Many results involving expected utility theory call upon the notions of absolute risk aversion, prudence, and/or temperance. This paper exploits a representation of the Friedman–Savage utility premium (Friedman, M., L. J. Savage. 1948. The utility analysis of choices involving risk. J. Political Econom. 56(4) 279–304) to give a general foundation for such coefficients and for their higher-order extensions.",https://www.jstor.org/stable/27784146,Management Science,10.2307_27784146,Management & Organizational Behavior,2010.0,0,1.6155903722392395e-05,1,0.9999231100082397,0,0.0001331543899141252
,,,Frustrations of Personnel Managers,None,https://www.jstor.org/stable/40226175,Management International Review,10.2307_40226175,Management & Organizational Behavior,1973.0,0,3.0537448765244335e-05,1,0.9999265670776367,0,0.00457155704498291
,,,Innovative and Noninnovative Small Firms: Types and Characteristics,"This study addresses the proposition that the characteristics of innovative and noninnovative small firms have significant differences. It is based on a sample of 50 Texas manufacturers. Cluster analysis yielded five distinct groups-two innovative and three noninnovative. The two innovative groups were either young firms dubbed the ""Young Turks"", or, established, managerially competent firms headed by newcomers called the ""Blue Chips"". Among the three noninnovative groups, the ""Silver Spoons"" appeared to be surviving on past success; the ""Striving Stoics"" displayed continuing managerial effort but were led by executives who had been at the helm far longer than average; and the ""Kismets"" showed lesser competence and effort, were highly centralized, and were headed by executives tending more towards an external locus of control. Correlational analysis indicated a significant positive relationship between scanning and innovation. Challenges to the firm in the form of environmental dynamism and heterogeneity evoked positive innovatory responses but environmental hostility was a weak negative correlate inducing the firm to ""pull in its horns"". Finally, an abundance of resources encouraged proactiveness.",https://www.jstor.org/stable/2632107,Management Science,10.2307_2632107,Management & Organizational Behavior,1989.0,0,1.8782817278406583e-05,1,0.9105252623558044,1,0.8526943325996399
,,,The Nature and Role of Market Research in a Competitively Oriented Socialist Economy,None,https://www.jstor.org/stable/40226417,Management International Review,10.2307_40226417,Management & Organizational Behavior,1972.0,0,6.875723192933947e-05,1,0.9998140931129456,0,5.06942487845663e-05
,,,Identifying Mobility Barriers,"This paper uses a new (PIMS) research data base to identify the mobility barriers-the factors associated with sustained intraindustry profit differentials-in a cross-section of industries. The exercise suggests that differentiation-related factors play more of a role in generating intraindustry profit differentials than do cost-related ones. It also indicates that differentiation-related advantages tend to be absorbed into fatter margins and (in some instances) larger maket shares, while cost-related advantages are taken primarily in the form of increases in market share.",https://www.jstor.org/stable/2486607,Strategic Management Journal,10.2307_2486607,Management & Organizational Behavior,1992.0,0,1.5537318176939152e-05,1,0.9798174500465393,1,0.8359260559082031
,,,Impact of Underlying Demand and Agglomeration of Supply on Seasonally: The Case of the Hollywood Film Industry,"The authors argue that it is possible to break the demand for films into two types: the underlying demand accounted for by audiences' behaviours owing to events outside the film industry (vacations, climate, etc.); and demand due to the agglomeration of supply by studios due to release dates selected close to each other. To ensure the success of their films, movie studios exploit peaks in demand. Such agglomeration increases seasonality and could lead studios to overestimate the true level of underlying demand at particular times. The aim of this article is to isolate the underlying demand in order to assess studios' choices in terms of release dates. The authors show that two periods - the beginning of the year and summer - are underutilized, with the release of fewer films than the market is able to absorb, while two other periods - spring and year's end - are overexploited. The choice of release date based on this criterion is a good predictor of a film's performance. Cet article soutient qu'il est possible de décomposer la demande pour les films en deux types : la demande sous-jacente imputable au comportement des spectateurs lié à des événements extérieurs à l'industrie cinématographique (vacances, climat, etc.) et la demande existante liée à la concentration de l'offre des studios au moyen de dates de sortie rapprochées. En effet, afin d'assurer le succès de leur film, ceux-ci cherchent à exploiter les pics de demande. Cette concentration accroît la saisonnalité et peut conduire les studios à surestimer le niveau réel de la demande sous-jacente de certaines périodes. L'objectif de cet article est donc d'isoler la demande sous-jacente afin de pouvoir juger les choix des studios en matière de dates de sortie. Il apparaît alors que deux périodes, le début d'année et l'été, s'avèrent sous-exploitées, c'est-à-dire accueillant moins de films que le marché pourrait en absorber, alors que deux autres, le printemps et la fin de l'année, sont surexploitées. Le choix de la date de sortie à partir de ce critère apparaît ainsi comme un prédicteur de la performance d'un film. Se afirma en este articulo que la demanda fílmica puede desglosarse en dos tipos: la demanda subyacente en respuesta al comportamiento de los espectadores influenciado por eventos fuera de la industria cinematográfica (vacaciones, clima, etc.) y la demanda suscitada por la concentración de la oferta alrededor de las fechas de estreno anunciadas por los estudios de cine. De hecho, para asegurarse del éxito de sus películas, éstos tratan de aprovechar los picos de la demanda. Dicha concentración aumenta el carácter estacional de la oferta y puede hacer que los estudios sobrevaluen el nivel real de la demanda subyacente de ciertos periodos. En este artículo se pretende, por ende, aislar esta última con miras a determinar con qué acierto los estudios escogen las fechas de estreno de sus películas. Se observa una subutilización de dos periodos, el principio del año y del verano, es decir momentos en los cuales el mercado podría soportar mayor número de películas en cartelera, al mismo tiempo que se sobreexplotan la primavera y el fin de año. Se concluye que la decisión sobre la fecha de estreno puede ser un buen indicador del desempeño de una película.",https://www.jstor.org/stable/41721123,International Journal of Arts Management,10.2307_41721123,Management & Organizational Behavior,2012.0,0,2.865714304789435e-05,1,0.9478458166122437,0,0.0004834721621591598
,,,Climate change mitigation among accommodation providers in the South West of England: Comparisons between members and non-members of networks,"Networks are a well-established feature in contemporary tourism governance and management. The aim of this article is to examine the extent to which there are differences among members and non-members of tourism networks in their efforts to introduce measures to mitigate the effects of climate change in their operations. Among accommodation providers in the South West of England, there is no significant difference between members and non-members of networks in the modest levels of innovation they have introduced. Possible reasons for the lack of difference are identified including the nature of the networks and the way in which knowledge is exchanged and retained among businesses. The article argues that, while formal networks still represent an important platform to promote climate change mitigation, their importance may also be in knowledge spillovers and boundary spanning behaviours 'beyond the network'.",https://www.jstor.org/stable/23745473,Tourism and Hospitality Research,10.2307_23745473,Management & Organizational Behavior,2011.0,0,7.04193371348083e-05,1,0.8924909234046936,0,0.0004945299588143826
,,,The Impact of Governance Mechanisms on Transaction-Specific Investments in Supplier-Manufacturer Relationships: A Comparison of Local and Foreign Manufacturers,"This study explores the impact that formal and relational governance mechanisms have in inducing local suppliers to make transaction-specific investments in foreign and local manufacturers, respectively. Analyses, in this regard, were based on a sample comprised of 77 local supplier/foreign manufacturer relationships and 57 local supplier/local manufacturer relationships in China. The efficacy of different governance mechanisms, as shaped by local and foreign manufacturers, exerts varying degrees of impact on suppliers' transaction-specific investments.",https://www.jstor.org/stable/40658249,MIR: Management International Review,10.2307_40658249,Management & Organizational Behavior,2008.0,0,0.0002318077313248068,1,0.9999710321426392,0,3.498076330288313e-05
,,,"Chief Mohlomi: A Pioneer in Bridging Knowledge from Enterprises of Science, Business and Politics in Southern Africa in the 18th Century","The growth and specialization in knowledge production from enterprises of knowledge in the 20th century has led to a major diffraction of the intellectual terrain and a growing distance between knowledge boundaries. It is in this regard that the need to build bridges between various sources of knowledge has become more urgent than ever before. Is this gap worth filling? The answer is a resounding, yes, for a variety of reasons from a responsible leadership viewpoint: first, to generate understanding of leadership responsibilities needed for human progress and development between and across enterprises of knowledge; and second, to create a dialogue about crucial multi-disciplinary insights and knowledge needed to tackle complex development issues facing humanity. Drawing on lessons largely from southern Africa in the 18th century, the paper presents Chief Mohlomi as a pioneer in applying a unity of knowledge approach regarding the enterprise of science, business and of politics for human progress and development. The chief led and set in motion what McIntosh (2013) dubbed “the necessary transition” for transformative change towards a just and sustainable southern Africa during the 18th century.",https://www.jstor.org/stable/jcorpciti.60.101,Journal of Corporate Citizenship,10.2307_jcorpciti.60.101,Management & Organizational Behavior,2015.0,0,0.00022611269378103316,1,0.9998928308486938,0,0.00019692124624270946
,,,A Methodology for Collective Evaluation and Selection of Industrial R&D Projects,"This paper proposes a methodology for evaluating and selecting R&D projects in a collective decision setting, especially useful at sectorial and national levels. It consists of two major phases: Evaluation and Selection. The evaluation process repeatedly uses mathematical programming models to determine the ""relative values"" of a given R&D project from the viewpoint of the other R&D projects. The selection process of R&D projects is based on these ""relative values"" and is done through a model-based outranking method. The salient features of the methodology developed are its ability to (1) permit the evaluation of an R&D project from the viewpoint of the other R&D projects without at first imposing a uniform evaluation scheme, and (2) maximize the level of consensus as to which projects should not be retained in the R&D Program being funded, thus minimizing the level of possible resentment in those organizations or departments whose projects are not included in the R&D Program. Also discussed in this paper is an application of the methodology to evaluate and select major R&D projects in the iron and steel industry of Turkey.",https://www.jstor.org/stable/2632540,Management Science,10.2307_2632540,Management & Organizational Behavior,1991.0,0,9.524113920633681e-06,1,0.9835451245307922,0,0.00019756612891796976
,,,Encoding Subjective Probabilities: A Psychological and Psychometric Review,"In order to review the empirical literature on subjective probability encoding from a psychological and psychometric perspective, it is first suggested that the usual encoding techniques can be regarded as instances of the general methods used to scale psychological variables. It is then shown that well-established concepts and theories from measurement and psychometric theory can provide a general framework for evaluating and assessing subjective probability encoding. The actual review of the literature distinguishes between studies conducted with nonexperts and with experts. In the former class, findings related to the reliability, internal consistency, and external validity of the judgments are critically discussed. The latter class reviews work relevant to some of these characteristics separately for several fields of expertise. In the final section of the paper the results from these two classes of studies are summarized and related to a view of vague subjective probabilities. Problems deserving additional attention and research are identified.",https://www.jstor.org/stable/2631269,Management Science,10.2307_2631269,Management & Organizational Behavior,1983.0,0,8.372606680495664e-05,1,0.9491075277328491,0,0.0005035917856730521
,,,Marketing Management in Arts Organizations: Differentiating Arts and Culture Volunteers from Other Volunteers,"The goals of this research were twofold: to determine whether arts and culture volunteers can be differentiated from other volunteers based on variables from multiple conceptual domains; and to determine whether, in the domain of arts and culture, higher-performance volunteers can be differentiated from lower-performance volunteers. Lifestyle, demographic, personality, social influence and terminal-value measures were obtained from a sample of arts and culture volunteers and a comparison group of volunteers in other domains. The results suggest that arts and culture volunteers can be distinguished from other volunteers. The analysis also shows that several of the variables are useful in differentiating higher-performance arts and culture volunteers. Implications of the findings and suggestions for future research are presented. L'étude menée par les auteurs avait un double but: déterminer si les bénévoles des arts et de la culture peuvent se différencier des autres bénévoles, selon des variables de multiples domaines conceptuels; et déterminer si, dans les arts et la culture, il est possible de distinguer les bénévoles les plus performants. Les variables démographiques et les variables relatives au mode de vie, à la personnalité, à l'influence sociale et aux valeurs ont été mesurées chez un échantillon de bénévoles des arts et de la culture et chez un groupe témoin de bénévoles d'autres secteurs. D'aprés les résultats, les bénévoles des arts et de la culture se distingueraient effectivement des autres bénévoles. L'analyse révèle également l'utilité de plusieurs des variables pour déterminer les bénévoles des arts et de la culture fournissant le meilleur rendement. Enfin, les auteurs présentent les implications de l'étude et des suggestions pour de futures recherches. La presente investigación tiene dos objetivos: por un lado, ver si es posible, basándose en variables de múltiples campos conceptuales, diferenciar los trabajadores voluntarios de la cultura y las artes de los otros trabajadores voluntarios y, por otro lado, distinguir, en el ámbito de las artes y la cultura, entre los voluntarios de alto y de bajo rendimiento. Se tomaron mediciones demográficas del modo de vida, de la personalidad, de la influencia social y del valor último de los trabajadores voluntarios los sectores artísticos y culturales, así como de un grupo comparativo de trabajadores voluntarios en otros campos. Los resultados indican que se puede distinguir entre los trabajadores voluntarios de la cultura y las artes y los trabajadores voluntarios en campos. El análisis muestra igualmente que muchas de las variables también son útiles para identificar a los trabajadores voluntarios de alto rendimiento. Se desatacan asimismo las consecuencias que surgen de las conclusiones del estudio y se hacen sugerencias para futuras investigaciones.",https://www.jstor.org/stable/41064700,International Journal of Arts Management,10.2307_41064700,Management & Organizational Behavior,2000.0,0,0.0025343492161482573,0,0.0001591662148712203,0,0.010523230768740177
,,,The experiential aspect of rural home-stay among Chinese and Malay students using diary method,"Tourism involving home-stays is one of the Malaysian government's key efforts to diversify its cultural tourism product. Tourists to the programme are adopted by their foster families experience a more traditional life in Malay villages. Using a diary method, this study examines the experiential aspects of home-stay holidays among domestic students in Kampung Lonek. A total of 19 diaries were content-analyzed using NVivo, which is a qualitative data analysis (QDA) computer software package produced by QSR International. Based on the findings, the home-stay experiential model is developed which explains the different phases of travel experience and their components. The on-site experience reveals three distinct dimensions: 'environmental experience', 'activity, culture and knowledge experience' and 'human interaction experience'. The study discusses the differences between Chinese and Malay students in their home-stay experience. The article highlights its methodological, theoretical and managerial contributions.",https://www.jstor.org/stable/23745510,Tourism and Hospitality Research,10.2307_23745510,Management & Organizational Behavior,2010.0,0,0.00012531028187368065,0,0.00034590568975545466,0,0.0009347698069177568
,,,Accounting Risk Associations of Internationally Interlisted Firms,"Reactions to publicly reported corporate accounting by international and national investors are examined. The empirical setting is Canada and the United States and the firms interlisted on stock exchanges between them. The methodology is a statistical association relating market to accounting determined risk measures. Stable temporal comparisons reveal that international investors prefer detailed financial information whereas domestic investors desire summary figures. Also, national reporting improvements are not projectible internationally. The data suggest that a preferable set of international accounting standards is not derived by condensing various national accounting standards but requires solutions unique to the international context. /// Les auteurs examinent les réactions des investisseurs à I'égard des informations financières fournis par les sociétés. L'enqugte a porté sur des sociétés domiciliées aux Etats-Unis et au Canada cotées en bourse dans les deux pays. La méthode appliquee consiste h établir une corrélation entre les indicateurs de risques associés au marché financier et ceux calculés h partir des donnCes comptables. Les études comparatives ont montré que les investisseurs opérant sur le march6 fmancier international préférent recevoir des informations extensives, tandis que les investisseurs operant sur le marché national se contentent d'informations synthétiques. En outre, il parait que des amiliorations dans lapresentation des comptes dans un pays domC n'a pas d'effet sur le plan international. Les dondes permettest de penser qu'il n'est pas possible de développer un systéme international optimal de principes internationaux h partir de systémes nationaux, mais qu'il faut mettre au point un systéme spicifiquement international. /// In dem Artikel werden Reaktionen von internationalen und nationalen Kapitalanlegern a d die externe Rechnungslegung von publizititspflichtigen Gesellschaften untersucht. Der empirische Rahmen der Untersuchung bezieht sich auf Kanada und die USA und solche Gesellschaften, die in beiden Lindern notiert sind. Aus mehodischer Sicht werden Risikofaktoren aus Kapitalmarktmodellen mit Risikogrößen, die sich aus der externen Rechnungslegung ergeben, korreliert. Zeitlich besthdige Vergleick habe; gezeigt, daß Kapitalanleger, die a d internationalen Kapitalmkkten investieren, detaillierte Informationen vorziehen, wärend sich inländische Investoren mit aobalen Informationen begnügen. Ferner wirken sich nationale Verbaserungen der Publiziht nicht auf internationaler Ebene aus. Die Daten weisen darauf hin, daß eine Verbesserung des Systems internationaler Vorschriften der Rechnungslegung nicht durch Zusammenfassen verschiedener nationaler Vorschriiten erreicht werden kann, sondern besondere Losungen erfordert, die dem internationalen Zusammenhang Rechnung tragen.",https://www.jstor.org/stable/40227322,Management International Review,10.2307_40227322,Management & Organizational Behavior,1977.0,0,3.9919530536280945e-05,0,0.0012838073307648301,0,0.0005529277841560543
,,,The Valuation of Ecosystem Services in South African Environmental Impact Assessments: Review of Selected Mining Case Studies and Implications for Policy,"Though the South African Mining and Biodiversity Guidelines were designed as a practical, user-friendly manual for integrating biodiversity considerations into the planning processes and managing biodiversity during the operational phases of a mine, from exploration through to closure, they do not specify exactly how ecosystem services can be assessed, in both non-monetary and monetary terms. The guidelines also do not indicate how the results of such assessments can be used in a meaningful way from the perspective of the mining sector and relevant stakeholders. This has led some mining houses and environmental impact assessment practitioners to explore ecosystem services valuation on a voluntary basis, going beyond legal requirements. Through the analysis of several case studies, this paper provides a critical analysis of how valuation of ecosystem services can be used to better inform mining project appraisal and management in South Africa. After discussing the main potential approaches to the valuation of ecosystem services within the mining life-cycle, we focus our attention on emerging valuation practices within the scope of environmental impact assessments and highlight the benefits and limitations of non-monetary and monetary valuation. We conclude by proposing the development of standardized guidelines and associated databases for assessing the net social and environmental impacts of mining in both non-monetary and monetary terms. Specific recommendations and research needs are also highlighted, towards producing information systems which would meaningfully link biophysical and economic data and enhance the decision-making capacity and leadership of mining companies, regulators and their stakeholders.",https://www.jstor.org/stable/jcorpciti.60.58,Journal of Corporate Citizenship,10.2307_jcorpciti.60.58,Management & Organizational Behavior,2015.0,0,1.7931648471858352e-05,0,0.00027397857047617435,0,7.794480916345492e-05
,,,Russell L. Ackoff,None,https://www.jstor.org/stable/40214099,Academy of Management Learning & Education,10.2307_40214099,Management & Organizational Behavior,2002.0,0,0.008727294392883778,0,0.0007052496075630188,0,0.00023876903287600726
