,stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
40,,,,Personnel-Administration Practices in Turkish Industrial Firms,None,https://www.jstor.org/stable/40396937,International Studies of Management & Organization,10.2307_40396937,Management & Organizational Behavior,1982.0,0,2.8006190404994413e-05,0,0.0003658579371403903,0,0.00045585984480567276
41,,,,An Application of the Blin-Whinston Algorithm for Resolving Fuzzy Group Preferences,"Important decisions regarding governmental expenditures for the public welfare require accurate assessment of preferences of the citizenry as one input. Often, strong disagreement exists regarding relative merit of various projects competing for limited resources. This paper proposes a procedure for establishing a complete social preference ordering on the set of alternative projects when the group preference is fuzzy because of individual differences. An extension of current algorithms is developed and applied to a problem concerning public preferences for expenditures on civic projects in Houston, Texas. One thousand male and female heads-of-household were interviewed in depth to determine their preferences for investment among forty-one projects in the areas of social services, business and job development, public transportation, arts and leisure, and education. A complete preference order for group decision was obtained for a situation in which significant disagreement exists among group members and where funding is limited.",https://www.jstor.org/stable/2630618,Management Science,10.2307_2630618,Management & Organizational Behavior,1979.0,0,5.818275167257525e-05,0,0.16064032912254333,0,9.380321716889739e-05
42,,,,Interrole Conflict and Marital Functioning Amongst Employed Fathers,"While the influence of maternal interrole conflict on marital functioning has been investigated, the issue of fathers' interrole conflict has been neglected. Consequently, 67 fathers' (M age = 38.51 years) interrole conflict and marital adjustment are investigated. In addition, the moderating role of personality hardiness is assessed. Using multiple moderator regression and sub-group analyses, hardiness was shown to moderate negative effects of interrole conflict on marital adjustment. Conceptual and practical implications of these findings are discussed.",https://www.jstor.org/stable/3000201,Journal of Occupational Behaviour,10.2307_3000201,Management & Organizational Behavior,1986.0,0,7.577826181659475e-06,0,0.000753075466491282,1,0.6335226893424988
43,,,,"Employee Involvement And Market Orientation In A Transition Economy: Importance, Problems And A Solution","The literature on companies in Western Europe and the United States suggests that employee involvement in market oriented activity is critical to the successful operation of a business. Yet little systematic research has been conducted on employee involvement in the marketing orientation activities of companies in the transition economies of Eastern Europe. This article describes an exploratory study of 30 companies from three countries (two in Eastern Europe), which investigates the relationship between the extent to which market oriented activities were being implemented throughout the organization and the level of employee involvement. This article also explores the relationship between the degree of market oriented activity and the success of the business. Both of the above relationships were strong and significant. Results from the study lead to a major question regarding possible implementation strategies for the manager seeking to involve employees in the company's market orientation. Focusing on how managers might overcome the cultural barriers that may be preventing employees from accepting a more empowered role, we discuss three major cultural differences between the countries of Eastern and Western Europe. We conclude with a discussion of goal setting as a motivational technique that can be used within these cultural differences to encourage employee involvement in these companies.",https://www.jstor.org/stable/40604214,Journal of Managerial Issues,10.2307_40604214,Management & Organizational Behavior,1998.0,0,5.990597401250852e-06,0,0.00024406264128629118,0,0.00013718630361836404
44,,,,"Chief Mohlomi: A Pioneer in Bridging Knowledge from Enterprises of Science, Business and Politics in Southern Africa in the 18th Century","The growth and specialization in knowledge production from enterprises of knowledge in the 20th century has led to a major diffraction of the intellectual terrain and a growing distance between knowledge boundaries. It is in this regard that the need to build bridges between various sources of knowledge has become more urgent than ever before. Is this gap worth filling? The answer is a resounding, yes, for a variety of reasons from a responsible leadership viewpoint: first, to generate understanding of leadership responsibilities needed for human progress and development between and across enterprises of knowledge; and second, to create a dialogue about crucial multi-disciplinary insights and knowledge needed to tackle complex development issues facing humanity. Drawing on lessons largely from southern Africa in the 18th century, the paper presents Chief Mohlomi as a pioneer in applying a unity of knowledge approach regarding the enterprise of science, business and of politics for human progress and development. The chief led and set in motion what McIntosh (2013) dubbed “the necessary transition” for transformative change towards a just and sustainable southern Africa during the 18th century.",https://www.jstor.org/stable/jcorpciti.60.101,Journal of Corporate Citizenship,10.2307_jcorpciti.60.101,Management & Organizational Behavior,2015.0,0,0.00022611269378103316,1,0.9998928308486938,0,0.00019692124624270946
45,,,,A Homogeneous Distribution Problem with Applications to Finance,"We consider the problem of determining the cumulative distribution function and/or moments of the optimal solution value of a nonlinear program dependent upon a single random variable. This problem is difficult computationally because one must in effect determine the optimal solution to an infinite number of nonlinear programs. Bereanu [6] has provided an algorithm to solve the distribution problem in the linear case based on extensions of the methods of parametric linear programming. (See also [2], [3], [4], [5], [12] for the analysis of more general linear programs.) This paper presents an extremely simple algorithm to solve the problem in the special case when all functions in the nonlinear program are homogeneous. In this instance the infinite class of optimal solutions are known linear homogeneous transformations of the optimal solution to a single nonlinear program. The distribution function may then be determined by substitution of an easily calculated variable into the distribution function of the random variable. The results are useful in the solution and analysis of a number of financial optimization problems. Problems from the analysis of optimal capital accumulation and portfolio separation are treated in some detail.",https://www.jstor.org/stable/2629663,Management Science,10.2307_2629663,Management & Organizational Behavior,1976.0,0,1.5775491192471236e-05,0,0.010494557209312916,0,0.00016482261708006263
46,,,,Depreciation Policies in Regulated Companies: Which Policies Are the Most Efficient?,"Decisions of firms such as whether to purchase new equipment frequently rather than better maintain and purchase less frequently are influenced by the (accounting) depreciation policies they use if they are rate-regulated. It is shown that basing decisions on depreciation policies, while uneconomic without regulation, might become rational under regulation. Regulators can mandate depreciation policies for these firms. This paper identifies a class of depreciation rules which will eliminate management incentives to make uneconomic capital replacement and maintenance decisions under regulation.",https://www.jstor.org/stable/2632101,Management Science,10.2307_2632101,Management & Organizational Behavior,1989.0,0,2.0022460375912488e-05,0,0.0006373418727889657,0,5.918550959904678e-05
47,,,,Cost of Prediction Error in the Economic Order Quantity Formula,"The relative cost of prediction error in the economic order quantity model that results from the incorrect prediction of parameter values for annual demand, purchase order cost and carrying cost is described as a function solely of the relative error in those parameter values, and is shown to be independent of the absolute magnitude of these parameters. This function is shown to have, over a certain range, an important contraction property so that the relative cost of prediction error will be (significantly) less than the relative error in the parameter value.",https://www.jstor.org/stable/2487413,Managerial and Decision Economics,10.2307_2487413,Management & Organizational Behavior,1982.0,0,1.0716450560721569e-05,0,0.0004580960376188159,0,0.0001337953144684434
48,,,,Rigor and Practical Usefulness of Research in Strategic Management,"This paper examines the rigor and usefulness of research programs in strategic management. Using a facet analysis technique, 23 research programs are examined on eight criteria reflecting their relative rigor and usefulness. Results show that this field has emphasized the practical usefulness of research results. Some research that is rigorous and has practical usefulness also exists in the field. Suggestions for generating more such research are discussed.",https://www.jstor.org/stable/2486147,Strategic Management Journal,10.2307_2486147,Management & Organizational Behavior,1987.0,0,3.6410903703654185e-05,0,0.0016553166788071394,0,6.655004835920408e-05
49,,,,Thompson Technology Construct and Executive Compensation,"Based upon a study of 135 American firms, this paper reports the finding of the relationship between executive compensation, company sales and profits classified according to the ""technological taxonomy"" developed by the late James Thompson. To him, technology was the basis on which organizations can be studied regardless of properties such as size, goals, product-market scope. Regression analysis lent some support to the view that the classic variables - sales and profits - as measures of performance are not adequate to explain executive compensation in the United States companies. When large numbers of firms are studied in groups based upon a commontechnological thread, one finds that both sales and profits tend to exert influence on compensation but in different degrees. This exercise does indicate that there is merit in employing technology as a key independent variable to separate out firms and place them in homogenous subsets. Furthermore, there is definitely a need for a search of other variables. We suggested W and Q - W being the wealth possessed by the executive in the form of stock ownership, and Q being an executive quotient or an index of the sum of perceived abilities of the executive by those who are in a position to determine his annual compensation. /// Basée sur une etude portant sur 135 societes americaines, le present rapport montre les relations entre la re-munération des cadres, le chiffre d'affaires réalisé et les bénéfices, relations classifiés d'apres la ""taxonomie technologique"" proposée par James Thompson. Selon cet auteur les organisations peuvent etre analysées à l'aide du critère de la technologie utilisée et ce indépendemment de la dimension, objectifs et produits commercialisés. L'étude de corrélations montre que les deux variables classiques: chiffre d'affaires et bénéfices ne sont pas, du moins en ce qui concerne les sociétés américaines, de bons critères pour expliquer la rémunération des cadres. Lorsqu'on étudie un grand nombre d'entreprises classées dans des groupes technologiques homogènes, on constate, il est vrai, que les ventes et les bénéfices exercent une influence sur la rémunération, mais à des degrés variés. Cela montre que Ton peut effectivement considérer la technologie comme une variable indépendante pour classer les entreprises dans des sous-ensembles homogènes. De plus, l'étude a montré qu'il est nécessaire de dégager d'autres variables. L'auteur propose les variables W- étant les actions détenues par le cadre - et Q - un coefficient traduisant la somme des capacités attribuées au cadre par ceux qui fixent sa rémunération annuelle. /// Auf der Grundlage einer Untersuchung von 135 amerikanischen Unternehmen wird im vorliegenden Beitrag über die Beziehungen zwischen Angestelltenentlohnung, Uhternehmensumsatz und Unternehmens-gewinn berichtet. Dabei wird die ,,technologische Taxonomie"" benutzt, die von James Thompson entwik-kelt wurde und nach der Organisationen ohne Einbeziehung von Merkmalen wie Größe, Ziele, Absatz-märkte hinreichend erforscht werden können. In der Regressionsanalyse ergaben sich Hinweise dafür, daß die klassischen Variablen Umsatz und Gewinn nicht ausreichen, um die Entlohnung höherer Angestellter in amerikanischen Firmen ausreichend erklären zu können. Wenn man eine größere Anzahl von Unternehmen auf der Grundlage einer gemeinsamen tech-nologischen Charakteristik analysiert, ergibt sich, daß sowohl Umsätze wie Gewinne in der Tendenz zwar die Entlohnung beeinflussen, jedoch in unterschiedlichem Ausmaß. Dabei stellt sich Technologie als we-sentliche unabhangige Variable zur Klassifikation von unterschiedlichen Firmen heraus. Daneben zeigt sich die Notwendigkeit, weitere Variable zu diesem Zweck ausfindig zu machen. W und Q, nämlich das Vermö-gen des höheren Angestellten in Form von Aktien und der sog. Angestelltenquotient als Index der durch jene Personen erkannten Fahigkeiten des Angestellten, die seine jährliche Entlohnung festsetzen, werden als geeignete Variable vorgeschlagen.",https://www.jstor.org/stable/40227307,Management International Review,10.2307_40227307,Management & Organizational Behavior,1977.0,0,8.985630302049685e-06,1,0.9998227953910828,0,0.04053166136145592
