,stance twd. cult_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score,org_score,org_pred
39,,,,Community as Gift-Giving: Collectivistic Roots of Volunteerism,"Who in America volunteers what and why? And what impact does volunteering have? It is widely believed that the typical volunteer is middle-aged and middle-class and that volunteerism is rooted in American cultural individualism. Undocumented and unexplored are collectivistic roots of giving, which may have a different social base than individualistc-grounded volunteerism. Characteristics of collectivistic-rooted volunteerism, conditions under which it transpires, and group and community effects of such giving are explored here. The analysis is based on ethnographic research in a predominantly ""old immigrant"" working-class inner-ring suburb. Collectivistic-rooted volunteerism is shown to be community-embedded and to have group, community, and class stratifying effects.",https://www.jstor.org/stable/3088875,American Sociological Review,10.2307_3088875,Sociology,2001.0,1,0.9944947361946106,0,0.00027251135907135904,0,0.0022480355110019445,0.9999969005584717,1
40,,,,The Emergent European Model in Skill Formation: Comparing Higher Education and Vocational Training in the Bologna and Copenhagen Processes,"Proposing an alternative to the American model, intergovernmental reform initiatives in Europe have developed and promote a comprehensive European model of skill formation. What ideals, standards, and governance are proposed in this new pan-European model? This model responds to heightened global competition among ""knowledge societies"" as it challenges national systems to improve. The authors thus compare this emergent European model with the historically influential models of Germany, France, Great Britain, and the United States. To what extent does the European model resemble these traditionally influential national models? The authors report findings of a theory-guided content analysis of official European policy documents in higher education and vocational training from 1998 to 2010. They find that while the European model is a bricolage that integrates diverse characteristics of influential models, the ambitious goals and standards codified in the twin Bologna and Copenhagen processes in higher education and vocational training offer a new model to compete internationally. Dozens of countries now seek to implement these principles. This comparative analysis finds different visions for the future of skill formation on both sides of the Atlantic.",https://www.jstor.org/stable/41507161,Sociology of Education,10.2307_41507161,Sociology,2012.0,0,9.007658081827685e-05,0,0.0003196402976755053,0,0.00017953944916371256,0.9999929666519165,1
41,,,,Theory and Method in Status Attainment Research,"This paper analyzes a contradiction between theory and method in status attainment research. The authors argue that the Meadian social psychology adopted by the status attainment researchers is incompatible with causal modeling which they use as their principal analytic tool, because Mead's ideas are inconsistent with any method which assumes unidirectional causality. A symbolic interactionist interpretation of the process of status attainment is offered in place of the causal interpretation. The symbolic interactionist interpretation removes the contradiction between theory and method and is, in addition, shown to be compatible with current sociological knowledge of the process of education. Finally, it is argued that the symbolic interactionist interpretation is also compatible with American political language, while the causal interpretation is not, and that therefore the adoption of the symbolic interactionist interpretation would permit the findings of status attainment research to speak to the question of the degree of equality of opportunity in American society as that question is asked in American politics.",https://www.jstor.org/stable/10.1525/si.1981.4.1.59,Symbolic Interaction,10.1525_si.1981.4.1.59,Sociology,1981.0,0,0.008938204497098923,0,0.0002630476374179125,0,0.000705606013070792,0.9999985694885254,1
42,,,,Determinants of the Social Environments of Sheltered Care Settings,"A conceptual framework is used to examine the relation of the social environments of sheltered care settings to the type of setting and three other sets of environmental domains: physical and architectural features, organizational policies and programs, and aggregate resident and staff characteristics. The framework is illustrated with data from 90 sheltered care facilities. The relative importance of each set of variables as predictors of seven dimensions of the social environment is estimated using multiple regression and partitioning of the explained variance. The results show that: (a) variables from all four sets are related to the social environment, (b) architectural and policy features have the strongest unique effects on social environments, and (c) a substantial portion of the explained variance is shared among combinations of two or more sets of predictors. The findings underscore the utility of focusing on several domains of environmental variables in evaluating sheltered care settings for the elderly.",https://www.jstor.org/stable/2136697,Journal of Health and Social Behavior,10.2307_2136697,Sociology,1980.0,0,3.387036485946737e-05,0,0.0011445649433881044,0,0.08802913129329681,0.9981667995452881,1
43,,,,WOMEN AND THE STATUS ATTAINMENT PROCESS,None,https://www.jstor.org/stable/42859526,Social Science Quarterly,10.2307_42859526,Sociology,1975.0,0,1.2085086382285226e-05,0,0.00018806960724759847,1,0.9953435063362122,0.999992847442627,1
44,,,,SOME NOTES ON LOCAL LEVEL POLITICAL ACTIVISM,None,https://www.jstor.org/stable/20830768,Sociological Focus,10.2307_20830768,Sociology,1970.0,0,0.0002547519688960165,0,0.00013816275168210268,0,0.00010267915786243975,0.9999973773956299,1
45,,,,Negating the Democratic Party Advantage in Open Seat Elections—A Research Update,"Objective. In an earlier paper in this journal the author argued that Republican prospects for electoral success in the House of Representatives rested on fielding politically experienced candidates, negating Democratic party advantages in spending, and taking advantage of the opportunities created in the South due to affirmative action redistricting. Methods. This study examines the role of open seats in forging the Republican majority in 1994. The 1994 open seat congressional elections are examined at the district level to determine how Republican open seat performance improved, compared to the previous decade, and how GOP improvement related to Republican gains. Results. GOP success in open seats occurred under conditions similar to those indicated by previous research, with one significant exception: the South. This analysis indicates that the Democratic party advantage was negated by a strong backlash vote against professional Democratic politicians in that region, and by changes in district demographics during the previous redistricting. Conclusions. The new Republican majority rested in part on the change in GOP fortunes in open seats, especially in the South. Redistricting, changing white voter allegiances, and a change in the relationship between candidate experience and voter expectations were also related to GOP success.",https://www.jstor.org/stable/44072659,Social Science Quarterly,10.2307_44072659,Sociology,1995.0,0,2.385304651397746e-05,0,0.4712347984313965,1,0.8121388554573059,0.8818376064300537,1
46,,,,Internet Usage: A Within Race Analysis,"The majority of North Americans have more access to the Internet today as compared to ten years ago. Schools, libraries, homes, coffee houses, and workplaces are equipped with the technology needed to get people online. This paper addresses a need to shift the focus from describing the digital divide, unequal access to the Internet, to the focus of describing the digital divide in usage. Research suggests that differences in usage do exist between social categories, such as race/ethnicity, gender, education, income, region, and age. This paper attempts to go beyond previous research studies by exploring the usage of the Internet by sex, education, income, and age within the racial categories of white and non-white. Data for this study is from the Current Population Survey. Our findings indicate that differences do exist within the categories of white and non-white. Furthermore, the study presents the findings of what people engage in while on the Internet.",https://www.jstor.org/stable/41675301,"Race, Gender & Class",10.2307_41675301,Sociology,2007.0,0,2.3432936359313317e-05,0,0.1278083473443985,1,0.9858901500701904,0.9999991655349731,1
47,,,,Replicating Family Size: Does Living in a Single Parent Family Matter?,"A well documented relationship exists between size of family of orientation and preferred family size. This relationship is influenced by factors such as the level of solidarity within the family of orientation and life chances available while growing up. This paper examines how living in a single parent family affects intergenerational marriage patterns regarding preferred family size. Data collected from 1300 college students at a large midwestern university provide further evidence of a positive relationship between number of siblings in one's family of origin and preferred marital family size. However, this relationship does not hold for all groups. Factors affecting preferred family size differ for males and females from intact and nonintact family structures. The positive relationship between size of family of orientation and family of procreation holds only for individuals from intact homes.",https://www.jstor.org/stable/20831523,Sociological Focus,10.2307_20831523,Sociology,1989.0,0,7.34504938009195e-05,0,0.00026157108368352056,1,0.9980493783950806,0.9999825954437256,1
48,,,,Disaffiliation from a New Religious Movement: The Importance of Self and Others in Exit,"Challenging the popular belief that people who join new religious movements (NRMs) become “entrapped,” this study describes the way in which 23 former members of 11 different “cults” personally negotiated disaffiliation. The current findings support previous studies that posit exit as a resolution to unresolved doubts and dissonances, and contribute to this literature by suggesting that the nature of these dissonances, and the way in which exit constitutes a “solution” to these dissonances may vary. It is suggested that for approximately half of the participants in this study, the dissonances that precipitated exit, were relatively minor, primarily caused by organizational changes and inconsistencies in the teachings. While generally doubts were resolved privately and commitment sustained, exit occurred when alternate discourses or other identity resources became available through which doubts could become resolved. The remaining participants describe the conflicts that precipitated disaffiliation as pertaining to tensions between the groups' expectation of conformity and their sense of autonomy. These participants describe exit as a solution to the stress and emotional exhaustion of membership. To make sense of these different disaffiliation narratives, symbolic interactionist notions of the self as constructed in both the realm of “Self” and “Others” are applied.",https://www.jstor.org/stable/symbinte.36.3.314,Symbolic Interaction,10.2307_symbinte.36.3.314,Sociology,2013.0,0,0.0010073286248371005,0,0.0001671451609581709,0,0.012195810675621033,0.9999935626983643,1
49,,,,SUSTAINABILITY OF FOR-PROFIT POSTSECONDARY INSTITUTIONS FOR NON-PROFIT PURPOSES: THE CASE OF CORPORATE UNIVERSITIES IN THE U.S.,None,https://www.jstor.org/stable/43294527,Hitotsubashi Journal of Social Studies,10.2307_43294527,Sociology,2008.0,0,0.0004727210907731205,0,0.0002891710610128939,0,0.00045876880176365376,0.9520093202590942,1
